wiki_data_id;title;main_subject;follows;genre;performer;country_of_origin;original_language_of_film_or_TV_show;publication_date;director;screenwriter;cast_member;director_of_photography;film_editor;production_designer;costume_designer;composer;producer;production_company;distributed_by;narrative_location;filming_location;duration;award_received;nominated_for;box_office;cost;collection;imdb_id;metascore;imdbrating;imdbvotes
Q54979;Miś;?;?;comedy film;?;Poland;?;1980-01-01T00:00:00Z;Stanisław Bareja;Stanisław Bareja,Stanisław Tym;Stanisław Mikulski,Jerzy Turek,Wojciech Pokora,Janusz Zakrzeński,Bronisław Pawlik,Krzysztof Kowalewski,Christine Paul-Podlasky,Wiktor Zborowski,Stanisław Tym;?;?;Halina Dobrowolska;?;Jerzy Derfel;?;Q4046704;Netflix;Poland;?;111;?;?;?;?;?;?;N/A;8.2;5,536
Q54984;Pan Anatol szuka miliona;?;?;comedy film;?;Poland;?;1958-01-01T00:00:00Z;Jan Rybkowski;Krzysztof Teodor Toeplitz;Tadeusz Fijewski;Bogusław Lambach;?;?;?;Jan Ptaszyn Wróblewski;?;?;?;?;?;?;?;?;?;?;?;?;N/A;6.7;50
Q54987;Rozmowy kontrolowane;?;?;comedy film;?;Poland;?;1991-12-13T00:00:00Z;Sylwester Chęciński;Stanisław Tym;Krzysztof Kowalewski;Jerzy Stawicki;?;Andrzej Kowalczyk;?;Jerzy Matuszkiewicz;?;?;Netflix;Poland;?;?;?;?;?;?;?;?;N/A;7.2;1,400
Q549889;Varsity Blues;?;?;drama,teen film,coming-of-age story;?;United States of America;?;1999-01-01T00:00:00Z;Brian Robbins;?;James N. Harrell,Eric Jungmann,Joe Pichler,Jesse Plemons,Tony Frank,John Gatins,James Van Der Beek,Richard Lineback,Ron Lester,Paul Walker,Amy Smart,Scott Caan,Thomas F. Duffy,Jon Voight,Ali Larter;?;Ned Bastille;?;?;Mark Isham;Michael Tollin;MTV Films;FandangoNow,Netflix,Paramount Pictures;Texas;?;100;?;?;?;?;?;?;50;6.5;42,391
Q549902;Love Ranch;prostitution;?;comedy film,drama;?;United States of America;?;2010-01-01T00:00:00Z,2010-06-30T00:00:00Z;Taylor Hackford;?;Harve Presnell,Raoul Trujillo,Melora Walters,Wendell Pierce,Emily Rios,Bai Ling,Bryan Cranston,M.C. Gainey,Taryn Manning,Gina Gershon,Leslie Jordan,Elise Neal,Rick Gomez,Gil Birmingham,Joe Pesci,Scout Taylor-Compton,Helen Mirren;?;Paul Hirsch;Bruno Rubeo;?;Chris Bacon;Lou DiBella,David Bergstein;?;Netflix;Nevada;?;117;?;?;?;?;?;?;37;5.7;2,963
Q549908;Spy Kids 2: The Island of Lost Dreams;?;Spy Kids;action film,comedy film,spy film,adventure film,family film;Robert Rodriguez;United States of America;?;2003-01-30T00:00:00Z,2002-08-07T00:00:00Z,2002-01-01T00:00:00Z;Robert Rodriguez;Robert Rodriguez;Tony Shalhoub,Christopher McDonald,Emily Osment,Taylor Momsen,Cheech Marin,Carla Gugino,Matt O'Leary,Ricardo Montalbán,Steve Buscemi,Danny Trejo,Mike Judge,Daryl Sabara,Dale Dudley,Holland Taylor,Antonio  José Banderas,Alan Cumming,Alexa PenaVega,Bill Paxton;Robert Rodriguez;Robert Rodriguez;Robert Rodriguez;?;John Debney;Robert Rodriguez,Elizabeth Avellán Ochoa;Dimension Films,Troublemaker Studios;Netflix,Miramax;Indian Ocean;?;96;?;?;?;38000000;?;?;66;5.2;61,880
Q550196;Spy Kids 3-D: Game Over;?;Spy Kids 2: The Island of Lost Dreams;comedy film,spy film,fantasy film,action film,family film,adventure film;Robert Rodriguez;United States of America;?;2004-02-05T00:00:00Z,2003-07-25T00:00:00Z,2003-01-01T00:00:00Z;Robert Rodriguez;Robert Rodriguez;Peter Marquardt,Glen Powell,Danny Trejo,Bobby Edner,Bill Paxton,Sylvester Stallone,Ricardo Montalbán,Matt O'Leary,Selena Gomez,Tony Shalhoub,George Clooney,Antonio  José Banderas,Emily Osment,Robert Vito,Alexa PenaVega,Mike Judge,Salma Hayek,Cheech Marin,Alan Cumming,Carla Gugino,Steve Buscemi,Ryan Pinkston,Holland Taylor,Daryl Sabara,Elijah Wood,Courtney Jines;Robert Rodriguez;Robert Rodriguez;Robert Rodriguez;?;Robert Rodriguez;Elizabeth Avellán Ochoa,Robert Rodriguez;Dimension Films,Troublemaker Studios;Miramax,Netflix;?;?;90;?;?;197011982;38000000;?;?;57;4.3;56,145
Q550205;Much Ado About Nothing;?;?;romantic comedy;Patrick Doyle;United Kingdom,United States of America;?;1993-01-01T00:00:00Z,1993-09-02T00:00:00Z;Kenneth Branagh;Kenneth Branagh;Ben Elton,Brian Blessed,Gerard Horan,Patrick Doyle,Chris Barnes,Kenneth Branagh,Michael Keaton,Robert Sean Leonard,Phyllida Law,Imelda Staunton,Keanu Reeves,Kate Beckinsale,Richard Briers,Denzel Washington,Emma Thompson;?;Andrew Marcus;?;Phyllis Dalton;Patrick Doyle;Kenneth Branagh;BBC Film;The Samuel Goldwyn Company,Netflix;Italy;?;106;National Board of Review: Top Ten Films;?;?;?;Museum of Modern Art;?;80;7.3;45,701
Q550558;The Muppets;?;?;musical film,comedy film;?;United States of America;?;2012-01-19T00:00:00Z,2011-11-23T00:00:00Z;James Bobin;Jason Segel,Nicholas Stoller;Kenny Hughes,Donald Glover,Kristen Schaal,Feist,John Krasinski,Sarah Silverman,Kathy Griffin,Judd Hirsch,Billy Crystal,Wanda Sykes,Justin Tinucci,James Carville,Greg Berg,Rob Corddry,Danny Trejo,Rico Rodriguez,Ricky Gervais,Alan Arkin,Jack Black,Neil Patrick Harris,Ken Jeong,Selena Gomez,Amy Adams,Zach Galifianakis,Emily Blunt,Bill Cobbs,Whoopi Goldberg,Rashida Jones,Chris Cooper,Dave Grohl,Jim Parsons,Jason Segel,Mickey Rooney;Don Burgess;James Thomas;Steve Saklad;Rahel Afiley;Christophe Beck;Todd Lieberman,David Hoberman;Walt Disney Pictures;FandangoNow,Disney+,Walt Disney Studios Motion Pictures,Netflix;Paris,Los Angeles;Los Angeles,Switzerland,Paris;103;?;?;?;?;?;?;75;7.1;88,445
Q550591;Spy Kids: All the Time in the World;time travel;Spy Kids 3-D: Game Over;spy film,comedy film,action film;?;United States of America;?;2011-01-01T00:00:00Z,2011-09-16T00:00:00Z,2012-05-03T00:00:00Z;Robert Rodriguez;Robert Rodriguez;Danny Trejo,Antonio  José Banderas,Jonathan Breck,Joel McHale,Jessica Alba,Mason Cook,Jeremy Piven,Ricky Gervais,Alexa PenaVega,Daryl Sabara,Rowan Blanchard;Robert Rodriguez;Dan Zimmerman;Robert Rodriguez;?;?;Robert Rodriguez,Elizabeth Avellán Ochoa;Troublemaker Studios;The Weinstein Company,Netflix,FandangoNow;?;?;89;?;?;72000000;27000000;?;?;37;3.5;23,296
Q5507120;Fuel;?;?;documentary film;?;United States of America;?;2008-01-01T00:00:00Z;Josh Tickell,John Tickell;?;Josh Tickell;?;?;?;?;?;Rebecca Harrell Tickell,Greg Reitman;?;?;California;?;?;?;?;?;?;?;?;N/A;7.5;719
Q5509367;Funny Ha Ha;?;?;romantic comedy;?;United States of America;?;2002-01-01T00:00:00Z;Andrew Bujalski;Andrew Bujalski;Andrew Bujalski,Christian Rudder,Kate Dollenmayer;Matthias Grunsky;?;?;?;?;Ethan Vogt,Hagai Shaham;?;?;?;?;?;?;?;?;?;?;?;78;6.5;2,535
Q551623;Circle of deceit;war correspondent;?;drama;?;France,Germany;?;1981-10-15T00:00:00Z,1981-01-01T00:00:00Z;Volker Schlöndorff;Volker Schlöndorff,Kai Hermann,Margarethe von Trotta,Jean-Claude Carrière;Hans-Peter Korff,Bruno Ganz,Hanna Schygulla,Jean Carmet,Gila von Weitershausen,Jerzy Skolimowski;Igor Luther;Suzanne Baron;?;?;Maurice Jarre;Eberhard Junkersdorf;?;Kino International,Netflix;?;?;108;?;?;?;?;?;?;N/A;7.1;811
